__v,_id,description,owner,token_id,token_id_old
0,61f6dc7d9c729c57a230798e,Apt #7 - Floor #97 - Tower #1 - Standard,0x86508e8c4438456b6568a0613e731400cc8c3950,109707,2206774564966433947166689696507183869586471703389774980152762807148292866049
0,61f6dc7d9c729c57a230798f,Apt #6 - Floor #97 - Tower #1 - Standard,0x2b32cda846d80b246e9b8f63bdb7ec2adf26369a,109706,2206774564966433947166689696507183869586471703389774980152762806048781238273
0,61f6dc7d9c729c57a230798d,Apt #8 - Floor #97 - Tower #1 - Standard,0x60377ec355857c2d06d1ce28555f624257344b0d,109708,2206774564966433947166689696507183869586471703389774980152762808247804493825
0,61f6dc7d9c729c57a2307992,Apt #22 - Floor #92 - Tower #1 - Luxury,0x4ce8d4560a488efdd0da89d9373e931499f578dd,109222,2206774564966433947166689696507183869586471703389774980152762802750246354945
0,61f6dc7d9c729c57a2307993,Apt #21 - Floor #92 - Tower #1 - Luxury,0x6d2113692857536b8993924d6b66d8409247fbb8,109221,2206774564966433947166689696507183869586471703389774980152762801650734727169
0,61f6dc7d9c729c57a2307991,Apt #10 - Floor #42 - Tower #1 - Standard,0x06ae908a3ebb99f70caf27b9f9b52e8056f7df0c,104210,2206774564966433947166689696507183869586471703389774980152762803849757982721
0,61f6dc7d9c729c57a2307990,Apt #5 - Floor #97 - Tower #1 - Standard,0x0d552310438a5cb891d6bcd482b2cae3ecf27f04,109705,2206774564966433947166689696507183869586471703389774980152762804949269610497
0,61f6dc7d9c729c57a2307998,Apt #16 - Floor #92 - Tower #1 - Standard,0x7bd3b61c1e14b09956f9243b2dc8030ee1686d6b,109216,2206774564966433947166689696507183869586471703389774980152762796153176588289
0,61f6dc7d9c729c57a2307997,Apt #17 - Floor #92 - Tower #1 - Standard,0xe3c6e58095a2eec9ebd088166d14e3d5ae00d097,109217,2206774564966433947166689696507183869586471703389774980152762797252688216065
0,61f6dc7d9c729c57a2307995,Apt #19 - Floor #92 - Tower #1 - Standard,0x2effc23a6f165f63ba9b15cec0c30b03486ad10e,109219,2206774564966433947166689696507183869586471703389774980152762799451711471617
0,61f6dc7d9c729c57a2307994,Apt #20 - Floor #92 - Tower #1 - Standard,0x0de7a8159ddbec47fc08502d618109d66879e012,109220,2206774564966433947166689696507183869586471703389774980152762800551223099393
0,61f6dc7d9c729c57a2307996,Apt #18 - Floor #92 - Tower #1 - Standard,0x7c4740c6dbae51b944477e31ee44454e6f56f05d,109218,2206774564966433947166689696507183869586471703389774980152762798352199843841
0,61f6dc7d9c729c57a230799b,Apt #13 - Floor #92 - Tower #1 - Standard,0x64942a4618762d6eec711666ebfeb248d5bfa70e,109213,2206774564966433947166689696507183869586471703389774980152762792854641704961
0,61f6dc7d9c729c57a230799e,Apt #10 - Floor #92 - Tower #1 - Standard,0x7b27f6b4b7bab89ff4bc659abbe6bfa4561be91f,109210,2206774564966433947166689696507183869586471703389774980152762789556106821633
0,61f6dc7d9c729c57a230799d,Apt #11 - Floor #92 - Tower #1 - Standard,0x363ddacb6f397cafc200b6b4c6d3d32bc865a7e1,109211,2206774564966433947166689696507183869586471703389774980152762790655618449409
0,61f6dc7d9c729c57a230799c,Apt #12 - Floor #92 - Tower #1 - Standard,0x800ea3663431c72ece331546ab522e9b8a2afbfb,109212,2206774564966433947166689696507183869586471703389774980152762791755130077185
0,61f6dc7d9c729c57a2307999,Apt #15 - Floor #92 - Tower #1 - Standard,0x142a496f8abdde2cefd809c9d467a28b78593d5e,109215,2206774564966433947166689696507183869586471703389774980152762795053664960513
0,61f6dc7d9c729c57a230799a,Apt #14 - Floor #92 - Tower #1 - Standard,0x942bc451b012ae43978ae75a1d2564906a8c9412,109214,2206774564966433947166689696507183869586471703389774980152762793954153332737
0,61f6dc7d9c729c57a23079a5,Apt #3 - Floor #92 - Tower #1 - Standard,0xa9444ad9862cd95651a9a2e0a560896d5c3fa90d,109203,2206774564966433947166689696507183869586471703389774980152762781859525427201
0,61f6dc7d9c729c57a23079a3,Apt #5 - Floor #92 - Tower #1 - Standard,0xcef843f17f68fd10d1e988c96135371bd91cb178,109205,2206774564966433947166689696507183869586471703389774980152762784058548682753
0,61f6dc7d9c729c57a23079a2,Apt #6 - Floor #92 - Tower #1 - Standard,0x946e47e5df688e5a445287a3d92e8eb20f6778c3,109206,2206774564966433947166689696507183869586471703389774980152762785158060310529
0,61f6dc7d9c729c57a23079a1,Apt #7 - Floor #92 - Tower #1 - Standard,0x86926545b10ecdc3f736832ca4b202cc51a211cc,109207,2206774564966433947166689696507183869586471703389774980152762786257571938305
